应用包名,c.l.a
应用名称,闪电盒子
应用PID,9077
机器内存大小(MB),900.33MB
机器CPU型号, 64-bit ARMv8 Processor rev 0 (v7l)
Android系统版本,4.4.4
手机型号,Coolpad Y80D
UID,10157
时间,栈顶Activity名称,应用占用内存PSS(MB),应用占用内存比(%),机器剩余内存(MB),应用占用CPU率(%),CPU总使用率(%),cpu0总使用率(%),cpu1总使用率(%),cpu2总使用率(%),cpu3总使用率(%),流量(KB),电量(%),电流(mA),温度(C),电压(V),帧率
2019-11-18 02:12:53,ComponentInfo{c.l.a/c.l.a.views.AppBoxWelcomeActivity},52.90,5.88,164.27,0,0,0.00,0.00,0.00,0.00,136,75,N/A,28.6,3.852,-1.0
2019-11-18 02:12:59,ComponentInfo{c.l.a/c.l.a.views.AppBoxWelcomeActivity},73.68,8.18,153.84,51.66,76.06,67.93,62.31,63.45,243.75,857,75,N/A,28.6,3.852,-1.0
2019-11-18 02:13:05,ComponentInfo{c.l.a/c.l.a.views.AppBoxHomeActivity},98.97,10.99,144.46,38.51,71.41,74.65,65.10,64.86,94.02,1556,75,N/A,28.6,3.852,-1.0
2019-11-18 02:13:10,ComponentInfo{c.l.a/c.l.a.views.AppBoxHomeActivity},107.16,11.90,114.72,31.88,88.99,92.81,84.62,83.92,96.61,17371,75,N/A,28.6,3.852,-1.0
2019-11-18 02:13:16,ComponentInfo{c.l.a/c.l.a.views.AppBoxHomeActivity},125.08,13.89,129.89,30.93,85.47,88.50,83.55,84.52,85.38,17395,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:22,ComponentInfo{c.l.a/c.l.a.views.AppBoxLoginActivity},101.22,11.24,122.75,29.15,86.26,88.95,74.25,72.95,168.83,17448,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:28,ComponentInfo{c.l.a/c.l.a.views.AppBoxLoginActivity},97.56,10.84,120.16,64.90,281.01,99.10,84.08,0.00,105.33,17465,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:33,ComponentInfo{c.l.a/c.l.a.views.AppBoxLoginActivity},90.99,10.11,125.55,8.17,91.56,97.33,82.65,92.21,99.46,22684,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:39,ComponentInfo{c.l.a/c.l.a.views.AppBoxLoginActivity},90.20,10.02,116.25,18.90,88.01,94.35,89.58,86.47,81.75,31862,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:45,ComponentInfo{c.l.a/c.l.a.views.AppBoxLoginActivity},119.36,13.26,123.97,28.65,84.61,87.55,81.51,86.09,83.36,40772,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:51,ComponentInfo{com.yulong.android.launcher3/com.yulong.android.launcher3.Launcher},94.68,10.52,134.15,34.68,93.21,85.35,83.19,80.07,335.53,54550,74,N/A,29.0,3.681,-1.0
2019-11-18 02:13:57,ComponentInfo{c.l.a/c.l.a.views.AppBoxReadInComeActivity},101.13,11.23,121.79,22.43,86.30,92.81,85.19,84.53,82.61,54790,74,N/A,29.0,3.681,-1.0
2019-11-18 02:14:02,ComponentInfo{c.l.a/c.l.a.views.AppBoxWalletBalanceActivity},95.46,10.60,110.40,19.72,86.41,89.38,86.56,86.58,83.16,56016,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:08,ComponentInfo{c.l.a/c.l.a.views.AppBoxHomeActivity},102.29,11.36,97.69,19.30,86.69,88.11,85.03,86.00,87.59,56939,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:14,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},103.39,11.48,87.41,26.94,80.76,83.73,80.77,80.86,77.72,57182,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:19,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},100.29,11.14,98.62,22.82,86.46,68.01,60.53,62.80,0.00,57236,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:25,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},101.43,11.27,103.69,21.88,73.18,77.33,68.70,60.69,95.47,59045,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:30,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},100.25,11.14,102.66,23.89,77.96,82.34,75.14,74.54,80.05,65464,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:36,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},100.84,11.20,111.60,20.54,82.36,75.45,70.20,74.32,151.63,72812,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:41,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},125.22,13.91,99.32,25.16,78.98,82.72,76.87,76.82,79.53,81373,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:47,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},132.34,14.70,143.71,40.21,85.16,87.18,85.26,86.06,82.07,98614,73,N/A,29.8,3.695,-1.0
2019-11-18 02:14:53,ComponentInfo{c.l.a/c.l.a.video.smallvideo.SmallVideoActivity},133.52,14.83,120.66,43.24,94.43,94.89,93.56,96.81,92.47,107121,73,N/A,29.8,3.695,-1.0
